Tweet,username,author_id,favorites,retweets,date,geo,mentions,hashtags,Label
Samsung Galaxy S6 SM-G920A - 32GB - Black Sapphire (AT&T) Smartphone B Grd 17 Giveaway RT & Follow pic.twitter.com/ePpRNgMmkX,,757660086324068352,0,0,2017-06-30 19:58:32,,[],[],0
Samsung S-View Flip Samsung Galaxy Note 3 Navy Blue Ca... USD 15.72 https:// goo.gl/7doLQH pic.twitter.com/yRjaCFfOa2,,14602818,0,0,2017-06-30 19:58:31,,[],[],0
"Is the Samsung Galaxy Tab dual voltage? What do I need to plug in in Europe (Spain, Italy)? - Do Ineed an adapte... http:// ref.gl/dQo50TSR",,872883967359426560,0,0,2017-06-30 19:58:26,,[],[],0
Samsung Galaxy Note 8 sarà venduto con due tagli diversi di memoria interna (HWBrain) http:// bit.ly/2ta5BrR pic.twitter.com/2PDyKM6Kwf,,317700874,0,0,2017-06-30 19:58:23,,[],[],0
"??? ??????????? ????? "" Samsung Galaxy S8+ ? 3 ???? ?????? iPhone 7 Plus!"" ( http:// youtu.be/wBr7x2T2LS4?a ) ??",,3240675385,0,0,2017-06-30 19:57:24,,[],[],0
http:// ift.tt/2tyULie Envia con NSI CARGO http:// ift.tt/2pPjbRM Samsung Galaxy S5 SM-G900V - 16GB - Charcoal Black (Verizon) Smartpho… pic.twitter.com/fsed9tnzoS,,197439393,0,0,2017-06-30 19:57:21,,[],[],0
Me ha gustado un vídeo de @YouTube ( http:// youtu.be/gKAZB-Ksn0s?a - Caracteristicas del Samsung Galaxy J3 Emerge).,,831761227,0,0,2017-06-30 19:56:33,,['@YouTube'],[],0
Samsung Samsung Galaxy S8 Plus Case 360 Degree Full Body Protection Soft TPU Back Cover Black Price: ? Link: http:// nairashop.com.ng/product/samsun g-samsung-galaxy-s8-plus-case-360-degree-full-body-protection-soft-tpu-back-cover-black/ …,,3291416655,0,0,2017-06-30 19:56:14,,[],[],0
O meu pai já veio e é logo Samsung Galaxy S7 edge,,3460745235,0,0,2017-06-30 19:56:08,,[],[],0
Samsung Galaxy J2 (360 Degree Full Protection Case + Tempered Glass) &#8211; Black Price: ? Link: http:// nairashop.com.ng/product/samsun g-galaxy-j2-360-degree-full-protection-case-tempered-glass-black/ …,,3291416655,0,0,2017-06-30 19:55:52,,[],['#8211'],0
"Samsung Galaxy S8 5.8&#8243; (4GB, 64GB ROM) 12MP + 8MP Single SIM &#8211; Orchid Grey Price: ? Link: http:// nairashop.com.ng/product/samsun g-galaxy-s8-5-8-4gb-64gb-rom-12mp-8mp-single-sim-orchid-grey/ …",,3291416655,0,0,2017-06-30 19:55:35,,[],"['#8243', '#8211']",0
"Samsung Galaxy J7 Dual SIM 5.5-inch (1.5GB, 16GB ROM) Android 5.1 13MP+5MP &#8211; White Price: ? Link: http:// nairashop.com.ng/product/samsun g-galaxy-j7-dual-sim-5-5-inch-1-5gb-16gb-rom-android-5-1-13mp5mp-white/ …",,3291416655,0,0,2017-06-30 19:55:15,,[],['#8211'],0
Samsung Galaxy S8 &amp; S8 Plus Wireless Fast Charging Stand &#8211; Black Price: ? Link: http:// nairashop.com.ng/product/samsun g-galaxy-s8-s8-plus-wireless-fast-charging-stand-black-2/ …,,3291416655,0,0,2017-06-30 19:55:10,,[],['#8211'],0
Now up on the auction block: Samsung Galaxy S7 SM-G930 - 32GB - Black Onyx (Unlocked) Smartphone $235.50 via eBay http:// ift.tt/2t0x0Ol,,713083512241463296,0,0,2017-06-30 19:54:36,,[],[],0
How To Unlock Your Samsung Galaxy S8+ (Plus) Smartphone http:// bit.ly/2mncuFc,,18863894,0,0,2017-06-30 19:53:58,,[],[],0
#Win a Samsung Galaxy Tab A Tablet from Mamas Geeky so you can play the NEW #SnoopyPop game! #giveaway #mobilegaming https:// wn.nr/cycBhq,,766431493971476482,0,0,2017-06-30 19:53:55,,[],"['#Win', '#SnoopyPop', '#giveaway', '#mobilegaming']",0
http:// ift.tt/2tzobMO Envia con NSI CARGO http:// ift.tt/2u8EXjg Samsung Galaxy Note5 SM-N920 - 32GB - Black Sapphire (AT&T) Smartphon… pic.twitter.com/mwgHzZIqdm,,197439393,0,0,2017-06-30 19:52:17,,[],[],0
http:// ift.tt/2sb77Zn Envia con NSI CARGO http:// ift.tt/2t7uLtA Samsung Galaxy S6 SM-G920A - 32GB - Black Sapphire (AT&T) Smartphone … pic.twitter.com/J2yuWee3BQ,,197439393,0,0,2017-06-30 19:52:15,,[],[],0
Me gustó un video de @YouTube http:// youtu.be/yRTZkHJ0XMs?a Samsung Galaxy Folder 2 - Unboxing en español,,135995896,0,0,2017-06-30 19:52:04,,['@YouTube'],[],0
Brand New Samsung Galaxy S8 SM-G950U 64GB Artic Silver Sprint CLEAN IMEI via eBay http:// ift.tt/2sw8VeN,,711337237963624448,0,0,2017-06-30 19:51:28,,[],[],0
"Samsung Galaxy Note 4 $8,900 http:// ift.tt/2dKl49c pic.twitter.com/cJRLOlPLdG",,2377597525,0,0,2017-06-30 19:51:22,,[],[],0
????????? ????? ?9 ? ????????? Samsung Galaxy S3 Android. http:// youtu.be/vlGKAIKoKmE,,916468316,0,0,2017-06-30 19:51:01,,[],[],0
?????? ????? @YouTube ??? http:// youtu.be/tpJPg6PBfBE?a Samsung Galaxy S8+ HK 6GB/128GB ?????? ???? ?????,,717697672862375936,0,0,2017-06-30 19:49:32,,['@YouTube'],[],0
Now up on the auction block: Samsung Galaxy S7 active SM-G891 - 32GB - Gray (AT&T) Smartphone - New! Sealed! $425… http:// ift.tt/2usZRZN,,713083512241463296,0,0,2017-06-30 19:49:10,,[],[],0
Fintie Samsung Galaxy Tab E 9.6 Keyboard Case – Slim Fit PU Leather Stand Cover with… http:// omni-innotech.com/fintie-samsung -galaxy-tab-e-9-6-keyboard-case-slim-fit-pu-leather-stand-cover-with-premium-quality-all-abs-hard-material-removable-wireless-long-life-battery-bluetooth-keyboard-black/ … pic.twitter.com/TUfcc7GNUd,,93922728,0,0,2017-06-30 19:48:50,,[],[],0
I’m in the running to win a Samsung Galaxy S8 plus. Thanks to Worldlink. #win #giveaway https:// wn.nr/vRFGbb,,2518443268,0,0,2017-06-30 19:48:39,,[],"['#win', '#giveaway']",0
Samsung Galaxy S4 Mini não liga? Veja como resolver o problema https:// youtu.be/6asRrU_p4zY via @YouTube,,784130903111065600,0,0,2017-06-30 19:48:03,,['@YouTube'],[],0
Samsung Galaxy On Nxt Unboxing And Hands on Review – iGyaan http://www. youtube.com/watch?feature= player_embedded&v=yW_ApM7UACY … https://www. mobilepricenow.pk/2017/06/30/sam sung-galaxy-on-nxt-unboxing-and-hands-on-review-igyaan/ …,,789020051613548544,0,0,2017-06-30 19:48:02,,[],[],0
"Smartphone Samsung Galaxy J5 Metal Dual Chip Android 6.0 Tela 5.2"" 16GB 4G Câmera 13MP - Dourado... http:// gafanhotoapp.com.br/oferta/smartph one-samsung-galaxy-j5-metal-dual-chip-android …",,3313274548,0,0,2017-06-30 19:47:41,,[],[],0
Mil gracias por el excelente servicio de @SamsumgMobileUS @SamsungMobileS @Samsung por la reparacion de mi celular Samsung Galaxy S7 edge,,152841312,0,0,2017-06-30 19:47:37,,"['@SamsumgMobileUS', '@SamsungMobileS', '@Samsung']",[],0
"Samsung Galaxy S5 -Desbloqueado para todas las compañías -32GB -Incluye cargador, cable USB y protector de... http:// fb.me/3zhLskO0h",,124838753,0,0,2017-06-30 19:47:26,,[],[],0
http:// ift.tt/2sqCJy8 Envia con NSI CARGO http:// ift.tt/2t9SQgH Samsung Galaxy Note 4 SM-N910T - 32GB - Frost White (T-Mobile) Smartp… pic.twitter.com/vPvS5haq7p,,197439393,0,0,2017-06-30 19:47:07,,[],[],0
At&t GoPhone Samsung Galaxy Express 3 Prime Remote Unlock Code Service USA or Get Free https:// goo.gl/LynbfW #SWIFTUNLOCK #UNLOCK pic.twitter.com/Js4LxxFHMQ,,1027922804,0,0,2017-06-30 19:46:38,,[],"['#SWIFTUNLOCK', '#UNLOCK']",0
Samsung Galaxy Grand Prime,,858210402139865088,0,0,2017-06-30 19:46:30,,[],[],0
"_NewsTechnology: #Samsung #Galaxy X Release Date: Foldable #Smartphone #News , rumours and specs … https://twitter.com/_NewsTechnology/status/880934325331668997/photo/1 pic.twitter.com/hwTrtn5XSW",,18938704,0,0,2017-06-30 19:45:35,,[],"['#Samsung', '#Galaxy', '#Smartphone', '#News']",0
No estaría sabiendo si estoy en 2007 o en 2025 ( Samsung Galaxy Folder 2) pic.twitter.com/y0gyS5x6FT,,2752311655,7,8,2017-06-30 19:45:16,,[],[],0
Me ha gustado un vídeo de @YouTube ( http:// youtu.be/yRTZkHJ0XMs?a - Samsung Galaxy Folder 2 - Unboxing en español).,,784925811149275136,0,0,2017-06-30 19:44:50,,['@YouTube'],[],0
